	Stk_601899	Stk_601857	Stk_601766	Stk_601699	Stk_601628	Stk_601601	Stk_601398	Stk_601328	Stk_601169	Stk_601166	Stk_601088	Stk_601006	Stk_600887	Stk_600837	Stk_600585	Stk_600549	Stk_600519	Stk_600518	Stk_600489	Stk_600383	Stk_600362	Stk_600256	Stk_600111	Stk_600050	Stk_600048	Stk_600036	Stk_600031	Stk_600030	Stk_600028	Stk_600018	Stk_600016	Stk_600015	Stk_600000
2009/2/4	5.934344	10.974649	4.79	34.211238	21.569923	14.832719	3.94877	6.105148	10.928974	20.678142	20.721329	9.399964	104.143162	229.461579	37.15708	80.51865	496.26761	94.459272	54.56218	40.642589	19.136841	65.611012	53.163719	7.427959	69.493728	35.474757	180.627029	66.393942	12.115288	3.957152	51.916238	16.348312	50.886172
2009/2/5	5.883796	10.913395	4.65	33.790008	22.059453	15.127342	3.907637	6.053322	10.656507	19.86324	21.253418	9.327096	100.87272	227.004412	36.776348	79.163598	499.816381	92.179849	53.871691	39.865979	18.770651	63.104383	52.911758	7.427959	67.867192	35.450292	177.148415	65.819351	12.115288	3.875139	52.241392	16.121009	49.666994
2009/2/6	6.389277	11.423844	4.78	34.59584	22.671366	15.625152	4.031036	6.322819	10.878517	20.443858	22.006373	9.774714	104.143162	232.674797	37.466425	82.729525	519.287927	94.459272	58.09586	43.179515	20.642291	65.172352	54.969438	7.812901	73.356749	36.673559	180.80096	68.864681	12.725517	4.069921	53.758777	16.593099	50.973256
2009/2/9	7.026183	11.556561	4.9	35.96941775	22.824344	15.635312	4.04132	6.322819	10.949157	20.596652	22.588659	9.930859	111.297256	233.241835	38.025625	84.441171	545.390072	97.923994	60.329795	44.991605	22.703807	70.62427	59.462738	7.841415	74.983285	36.795886	183.062059	69.496731	12.814819	4.192941	54.3007	16.715493	51.640901
2009/2/10	7.723746	12.118054	4.88	36.427277	22.763153	15.970572	4.051603	6.198436	10.777603	20.280877	22.819565	10.034956	110.173041	233.430848	37.359344	87.93578	541.51444	99.200471	59.558072	46.389503	24.968763	70.62427	65.425809	7.898443	75.674563	36.35551	182.018475	69.324354	13.231561	4.418478	54.083931	16.540645	51.524789
2009/2/11	7.865281	11.852621	4.78	34.815612	22.579579	15.513399	4.061886	6.239897	10.979431	20.240132	22.247319	10.305609	107.209202	252.89917	38.239787	83.300074	560.752515	98.106348	61.07444	45.405797	24.344883	69.496287	63.662084	8.126557	73.153433	36.526767	186.888535	71.622716	13.067841	4.397975	54.625854	16.715493	50.973256
2009/2/12	8.037144	11.709695	4.78	33.240577	22.345012	15.533718	4.000187	6.105148	10.878517	19.465975	21.293575	10.014137	107.618008	249.496939	37.728178	83.692326	562.807066	102.665193	64.621659	47.114339	23.449751	72.880236	61.646398	8.1123	75.389919	35.132242	180.279168	69.55419	12.785052	4.295458	52.8917	16.243403	49.144489
2009/2/13	8.057363	11.985338	5.07	34.247867	23.854397	16.092484	4.082453	6.219166	11.150985	19.873426	22.046531	10.222331	109.764236	262.91685	39.179719	84.084578	571.6323	105.035793	66.341112	48.719333	24.64326	80.14946	62.570254	8.326157	78.846307	36.233183	198.280995	73.030463	13.320863	4.449233	54.409085	16.732978	50.508807
2009/2/16	7.936048	12.414115	5.08	35.548187	24.507104	16.702048	4.216135	6.426472	11.564732	20.769819	22.89988	10.649129	113.852289	273.879594	41.047687	91.644345	572.939741	105.4005	65.704779	47.373209	24.670386	82.468092	63.830058	8.554271	77.870385	38.973302	203.498916	76.047064	13.79714	4.562002	56.793546	17.53728	52.598827
2009/2/17	8.370761	12.06701	4.87	35.3101	23.579036	15.848659	4.123586	6.229532	11.484001	20.179015	22.598698	10.159873	113.545685	259.703632	41.1666655	87.793143	588.862517	102.75637	68.344885	44.163221	24.480509	77.768163	61.730385	8.197843	74.413998	37.7745	198.280995	72.886815	13.588769	4.572254	55.059392	16.942796	51.582845
2009/2/18	8.209008	11.474889	4.64	32.068457	22.406204	15.035907	3.94877	5.866747	11.383087	19.333554	20.982354	9.56652	106.493793	245.149644	41.285644	85.796223	566.682698	99.291648	69.671707	42.247583	22.934372	74.697542	57.237085	7.727358	72.258838	35.67048	199.585475	69.180706	12.770168	4.295458	52.133007	15.946161	49.318657
2009/2/19	8.057363	11.576979	4.69	32.581259	22.324615	15.056226	3.928204	5.804555	10.908792	18.98722	20.721329	9.587339	105.778384	244.582605	44.05785	92.214893	569.110804	100.294594	68.751055	43.800803	22.947934	82.154763	58.874829	7.827158	76.650484	35.107777	208.716837	68.721034	12.799936	4.326213	51.807853	15.806282	48.418788
2009/2/20	8.239336	11.617815	4.74	33.863265	22.426601	15.096864	3.938487	5.825286	10.928974	19.34374	20.831763	9.649797	115.589712	249.874964	44.022157	95.495547	584.052998	100.841655	69.143686	43.593707	24.358446	82.969418	64.753914	7.884186	76.772474	35.230104	206.194842	69.353083	12.85947	4.377471	52.67493	15.998615	48.883236
2009/2/23	9.068325	11.66886	4.82	35.145271	22.793748	15.604833	3.959054	5.908208	11.423452	20.107711	21.2233	9.889221	127.138463	258.94758	44.010259	105.052234	596.660474	103.850493	74.667599	46.544825	24.833137	84.724058	68.701299	7.998243	81.367437	36.110856	209.760421	71.306691	12.948772	4.459485	54.083931	16.645554	51.031312
2009/2/24	9.644573	11.189038	4.54	33.899894	21.335356	14.670169	3.804805	5.545423	10.706964	18.74275	19.988453	9.368735	125.707644	233.052822	42.130394	101.343669	601.376604	100.021063	78.444981	45.457571	23.978693	86.666696	67.315515	7.713101	80.838813	33.762183	210.543109	64.296686	12.085521	4.264703	50.724007	15.578979	47.693086
2009/2/25	9.573806	11.189038	4.54	33.222262	21.620916	14.243474	3.815088	5.690537	10.848243	19.404858	19.807744	9.275048	128.773685	229.083553	41.345134	106.906516	595.353032	97.376933	74.613443	43.231289	24.738199	85.037387	67.105547	7.542016	77.382425	36.502302	201.759609	64.842547	12.011102	4.244199	52.349777	16.086039	49.608938
2009/2/26	8.704379	11.015485	4.45	30.346907	20.733642	13.613592	3.773955	5.576519	10.394131	18.620514	19.285695	8.869069	117.224933	210.371282	38.513438	96.208733	571.678994	91.359257	69.576934	40.590815	23.327687	76.514848	60.386594	7.285387	74.698641	34.912054	186.105846	61.078979	12.189706	4.008411	50.182084	15.421616	49.957274
