STATE,REGION,POPULATI,URBAN,MOBILITY,LT18,GT65,DENSITY,PCTWHITE,PCTBLACK,PCTNAM,PCTASIAN,PCTHISP,IMMIG,MARRIAGE,DIVORCES,FEMHEAD,BRATE,LOWBWT,PRISONER,HOMELESS,DRATE,SUICIDES,TEENMOM,INFMORT,BEER,AIDS,ABORTION,DOCTORS,POVERTY,MDFAMINC,UNEMPLY,DROPOUT,HSGRAD,COLLGRAD,HOMICIDE,RAPE,ROBBERY,ASSAULT,BURGLARY,LARCENY,CARTHEFT,BUSH00,GORE00,NADER00,TURNOUT
IDAHO         ,West,1.289997101,53.59997559,49.79992676,28.51953125,11.2767334,15.59997559,91,0.399999619,1.399997711,0.899999619,7.899993896,14.8999939,12.29998779,5.399993896,9.082397461,16,6.699996948,0.569999695,0.049999952,7.460998535,16.39996338,11.59997559,6.699996948,30.59997559,1.799999237,6.122192383,154.2416992,13.29998779,43584,4.899993896,12,86.19995117,20,1.199996948,29.69995117,17.19995117,204.2998047,566.5,2206,161.199707,67.19995117,27.59997559,2.5,56.09997559
ILLINOIS      ,Midwest,12.41998291,77.39990234,65.89990234,26.13232422,12.07815552,223.3999023,73.5,15.09997559,0.199999809,3.399993896,12.29998779,29.09997559,7.099990845,3.399993896,12.82730103,15.19998169,7.899993896,0.549999237,0.049999952,8.675994873,8.599975586,11.3999939,8.5,32.59997559,9.5,26.14031982,262.6972656,10.5,55198,4.399993896,15.69998169,85.5,27.09997559,7.199996948,32.89990234,207.3999023,409.2998047,659.5996094,2517.796875,452.0996094,42.59997559,54.59997559,2.199996948,62
INDIANA       ,Midwest,6.079986572,62.19995117,71.69995117,25.89257813,12.381073,169.5,87.5,8.399993896,0.299999237,1,3.5,6.799987793,5.699996948,NA,11.2696228,14.69998169,7.399993896,0.569999695,0.039999962,8.945983887,11.79998779,12.5,8,29.09997559,4,11.16744995,198.293457,8.299987793,48751,3.199996948,16.39996338,84.59985352,17.09997559,5.799987793,28.89996338,103.2998047,211.0996094,676.0996094,2379.898438,346.7998047,56.69995117,41,0.799999237,59.59997559
IOWA          ,Midwest,2.929992676,59.5,74,25.07025146,14.90649414,52.39990234,93.89990234,2.099998474,0.299999237,1.299999237,2.799995422,10.3999939,8,3.399993896,8.83114624,13.29998779,6.099990845,0.399999619,0.029999971,9.906982422,11.5,10,5.699996948,33.39990234,2.5,9.41986084,174.3798828,7.899993896,46941,2.599998474,10.8999939,89.69995117,25.5,1.599998474,23.09997559,36.59997559,205.0996094,558.3984375,2225.195313,183.5996094,48.19995117,48.5,2.199996948,67.39990234
KANSAS        ,Midwest,2.689994812,65.39990234,61.39990234,26.52087402,13.25048828,32.89990234,86.09985352,5.699996948,0.899999619,1.699996948,7,17,7.199996948,3.799995422,9.807342529,14.8999939,6.899993896,0.619998932,0.019999981,NA,12.3999939,12,7.299987793,28.5,3.699996948,18.86743164,206.7426758,10.5,49863,3.699996948,11.3999939,88.09985352,27.29998779,6.299987793,38,76.19995117,269,799.0996094,2978.59375,241.5996094,58,37.19995117,3.399993896,61.69995117
KENTUCKY      ,South,4.039993286,48.19995117,73.5,24.61340332,12.48937988,101.6999512,90.09985352,7.299987793,0.199999809,0.699998856,1.5,7.399993896,11.09997559,5.699996948,11.90628052,14.09997559,8.199981689,0.699998856,0.039999962,9.617980957,13.3999939,14.09997559,7.599990845,27.39996338,3.599998474,9.55090332,209.5649414,12.5,40192,4.099990845,23.89996338,78.69995117,20.5,4.799987793,27,80.59985352,182.199707,626.1992188,1809.597656,229.5,56.5,41.39990234,1.5,56.39990234
LOUISIANA     ,South,4.469985962,68,78.39990234,27.2947998,11.56704712,102.5998535,63.89990234,32.5,0.599998474,1.199996948,2.399993896,6.699996948,9.299987793,NA,16.39642334,15.5,10.29998779,1.119998932,0.039999962,9.244995117,11,17,9.199981689,39.69995117,13.79998779,14.71533203,249.956543,18.5,38492,5.5,22.09997559,80.79980469,22.5,12.5,33.5,168.5,466.5996094,1035.796875,3229.898438,475.8994141,52.59997559,44.89990234,1.199996948,65.69995117
MAINE         ,Northeast,1.269996643,44.79992676,67.79980469,23.62792969,14.38531494,41.29992676,96.89990234,0.5,0.599998474,0.699998856,0.699998856,8.899993896,8.099975586,4.599990845,8.37979126,10.79998779,6,0.21999979,0.039999962,9.768981934,15.79998779,9.399993896,4.799987793,29.19995117,3.399993896,9.69644165,240.9624023,9.799987793,45529,3.5,14.19998169,89.29980469,24.09997559,1.199996948,25.09997559,19.39996338,63.89990234,531.3984375,1875.097656,103.6999512,44,49.09997559,5.699996948,70.09985352
MARYLAND      ,Northeast,5.299987793,76.89990234,49,25.60510254,11.31515503,541.7988281,64,27.89996338,0.299999237,4,4.299987793,33.39990234,7.599990845,3.199996948,14.01745605,14.19998169,8.599975586,0.669998169,0.049999952,8.192993164,9.699981689,9.899993896,8.399993896,26.39996338,20.89996338,26.32232666,372.7792969,7.299987793,62437,3.899993896,14.8999939,85.69995117,32.29992676,8.099975586,29.09997559,256,493.2998047,744.3984375,2745.695313,539.5,40.19995117,56.5,2.699996948,61.09997559
MASSACHUSETTS ,Northeast,6.349990845,87.39990234,65.59985352,23.62640381,13.54776001,810,84.5,5.399993896,0.199999809,3.799995422,6.799987793,37,6.399993896,2.099998474,11.98825073,13.19998169,7.099990845,0.369999886,0.089999914,8.984985352,8.199981689,6.599990845,5.199996948,28.59997559,10,29.27636719,416.8583984,10.19998169,61560,2.599998474,13.19998169,85.09985352,32.69995117,2,26.69995117,91.59985352,355.8994141,482,1660.5,407.5996094,32.5,59.79992676,6.399993896,65.29980469
MICHIGAN      ,Midwest,9.939971924,69.79980469,74.59985352,26.1184082,12.26565552,174.8999023,80.19995117,14.19998169,0.599998474,1.799999237,3.299995422,16.89996338,6.799987793,3.899993896,12.67678833,13.69998169,7.899993896,0.659999847,0.049999952,8.680999756,9.899993896,10.5,8.099975586,29.69995117,5.299987793,22.34063721,228.5668945,10.19998169,52684,3.599998474,14.29998779,86.19995117,23,6.699996948,50.59997559,138,359.6992188,702.1992188,2291.898438,560.6992188,46.19995117,51.29992676,2,62.39990234
